,class,protein,calcium,fat,carbohydrates,vitamins
0,apple pie,1.77,0,15,54,0
1,baby back ribs,18.8,0.026,9.82,0,0
2,baklava,6.6,0.041,29,37.8,0.0013
3,beef carpaccio,5,0,65,10,0.0013
4,beef tartare,17.4,0.028,15.6,0.34,0.0002
5,beet salad,1.32,0.018,5.29,11,441.0132
6,beignets,5.46,0.09,20.2,53.7,441.0011
7,bibimbap,5.51,0.025,2.92,8.18,441.0105
8,bread pudding,4.04,,4.55,42.4,441.0105
9,breakfast burrito,8.13,0.007,7.77,26.2,530.0042
10,bruschetta,4.29,0.05,7.61,21.3,530.0079
11,caesar salad,5.91,0.157,15.8,7.48,4130.0165
12,cannoli,6.32,0.021,14.7,42.1,0
13,caprese salad,5.76,0.079,10.5,9.42,0
14,carrot cake,2.35,0.024,25.9,47.1,1470
15,ceviche,10.5,0.022,0.76,3.58,1470.0186
16,cheese plate,6.46,0.146,11.5,15.6,254.0186
17,cheesecake,4.72,0.063,25.2,30.7,394
18,chicken curry,6.47,0.02,6.45,6.47,394.0086
19,chicken quesadilla,14.2,0.221,10.6,22.1,265.0011
20,chicken wings,18.6,0,18.6,0,0
21,chocolate cake,3.03,0.03,22.7,57.6,0
22,chocolate mousse,1.19,0.036,23.8,19,0.0007
23,churros,6.05,0.11,22.2,48.9,0.0012
24,clam chowder,3.67,0.041,8.57,6.53,408.0037
25,club sandwich,16,0.079,7.65,21.4,408.0001
26,crab cakes,14.2,0.111,16.8,7.08,408.0001
27,creme brulee,4.06,0.115,2.83,17.8,408
28,croque madame,15,0,7.5,70,0
29,cup cakes,2.22,0.222,13.3,60,0
30,deviled eggs,10.7,0,25,0,714
31,donuts,3.51,0.175,17.5,61.4,0
32,dumplings,9.21,0.026,1.97,23.7,263.0063
33,edamame,11.8,0.059,4.71,7.06,263.0063
34,eggs benedict,13.8,0.058,22.1,8.48,263.0014
35,escargots,20,0.013,6.91,2.48,263
36,falafel,8.28,0.086,41.2,29,263.0073
37,filet mignon,15.2,0,15.2,0,89
38,fish and_chips,11,0.016,16.2,21.7,18
39,foie gras,8.93,0,35.7,3.57,13400
40,french fries,2.38,0,8.33,22.6,0.0029
41,french onion soup,4.21,0.088,3.51,6.32,140.0021
42,french toast,7.02,0.058,3.51,28.1,140.0021
43,fried calamari,13.8,0.039,13.2,14.1,140.0029
44,fried rice,3.33,0,5,31.7,0
45,frozen yogurt,3.12,0.104,8.33,21.9,417
46,garlic bread,8.77,0.018,14,45.6,417
47,gnocchi,3.33,0,0,33.3,0.001
48,greek salad,1.88,0.031,4.7,4.08,4080.0038
49,grilled cheese sandwich,11.5,0.224,12.8,31.4,64.0058
50,grilled salmon,18.1,0.034,3.45,0.86,86.001
51,guacamole,3.33,0,13.3,10,333.012
52,gyoza,3.33,,0,33.3,333.012
53,hamburger,3.53,0,3.53,41.2,0
54,hot and sour soup,2.58,0.019,1.21,4.35,0
55,hot dog,19.3,0.035,14,1.75,263.0021
56,huevos rancheros,6.68,0.044,6.65,8.85,263.001
57,hummus,7.14,0.071,28.6,21.4,357.0086
58,ice cream,2.27,0.068,10.2,25,398.002
59,lasagna,5.53,0.092,4.15,10.1,398.0069
60,lobster bisque,5.23,0.053,2.61,1.69,398.0013
61,lobster roll sandwich,20.9,0.106,0.95,0,398
62,macaroni and cheese,3.53,0.041,2.35,18,398
63,macarons,10,0.083,23.3,53.3,398
64,miso soup,1.92,0.027,0.8,2.08,398
65,mussels,15.1,0.033,2.84,4.67,398.0081
66,nachos,11.3,0.063,13.2,19.8,398
67,omelette,1.6,0.008,0.8,11.2,398
68,onion rings,2.35,0.047,11.8,28.2,0
69,oysters,4.96,0.096,10.8,18.4,0.0018
70,pad thai,4,0.035,4,26,0.0018
71,paella,13.3,0.067,3.33,82.2,1330.008
72,pancakes,6.45,0.097,2.42,53.2,161
73,panna cotta,3,0.15,10,30,161
74,peking duck,0,,0,66.7,161
75,pho,6.15,0.011,2.26,10.4,161.0014
76,pizza,6.8,0.102,8.84,32,136.0061
77,pork chop,18.4,0.015,9.04,7.82,136.0003
78,poutine,10.3,0.129,6.9,69,136.0003
79,prime rib,0,,0,0,136.0003
80,pulled pork sandwich,13.2,0.044,4.42,18.7,264.0002
81,ramen,12.7,0.036,2.73,63.6,727.0011
82,ravioli,12.9,0.235,12.9,27.1,727
83,red velvet cake,31.2,0.156,9.38,43.8,0
84,risotto,12.9,0,1.43,109,0
85,samosa,5.11,0.032,17.4,33.1,0.0004
86,sashimi,19.7,,0.34,4.08,0.0004
87,scallops,15.2,0.023,0.89,2.68,0.0004
88,seaweed salad,1,0.1,2.5,11,200
89,shrimp and grits,8.38,0.037,7.33,7.85,200
90,spaghetti bolognese,6.09,0.046,6.6,7.61,200
91,spaghetti carbonara,18,0.2,10,58,600
92,spring rolls,9.6,0.095,6,44.6,600
93,steak,0,0,0,111,0
94,strawberry shortcake,2.96,0.044,13.3,31.1,296.0067
95,sushi,2.92,0.006,0.67,18.4,296.0009
96,tacos,6.69,0.095,9.17,15.1,62.0009
97,octopus balls,13.2,0.055,13,13.4,62.003
98,tiramisu,5.99,0.067,24.3,29.5,62.0011
99,tuna tartare,17.4,0.028,15.6,0.34,62.0002
100,waffles,2.86,0,10,48.6,0
